ChangeCaseandEquivalents,CashandEquivalentsStart,CashandEquivalentsEnd,segment,Date
344,"7,432","7,776",Group,2011-01-01
244,"5,585","5,829",Auto,2011-01-01
,,,Moto,2011-01-01
291,"1,227","1,518",Finance,2011-01-01
,,,Other,2011-01-01
,,,Elimination,2011-01-01
594,"7,776","8,370",Group,2012-01-01
"1,655","5,829","7,484",Auto,2012-01-01
,,,Moto,2012-01-01
-721,"1,518",797,Finance,2012-01-01
,,,Other,2012-01-01
,,,Elimination,2012-01-01
-706,"8,370","7,664",Group,2013-01-01
-716,"7,484","6,768",Auto,2013-01-01
,,,Moto,2013-01-01
82,797,879,Finance,2013-01-01
,,,Other,2013-01-01
,,,Elimination,2013-01-01
â€‚17,"7,671","7,688",Group,2014-01-01
,,,Auto,2014-01-01
"-1,023","6,775","5,752",Moto,2014-01-01
904,879,"1,783",Finance,2014-01-01
,,,Other,2014-01-01
,,,Elimination,2014-01-01
-1566,7688,6122,Group,2015-01-01
-1800,5752,3952,Auto,2015-01-01
,,,Moto,2015-01-01
-424,1783,1359,Finance,2015-01-01
,,,Other,2015-01-01
,,,Elimination,2015-01-01
1758,6122,7880,Group,2016-01-01
842,3952,4794,Auto,2016-01-01
,,,Moto,2016-01-01
1687,1359,3046,Finance,2016-01-01
,,,Other,2016-01-01
,,,Elimination,2016-01-01
1159,7880,9039,Group,2017-01-01
2363,4794,7157,Auto,2017-01-01
,,,Moto,2017-01-01
-1190,3046,1856,Finance,2017-01-01
,,,Other,2017-01-01
,,,Elimination,2017-01-01
1940,9039,10979,Group,2018-01-01
1474,7157,8631,Auto,2018-01-01
,,,Moto,2018-01-01
129,1856,1985,Finance,2018-01-01
,,,Other,2018-01-01
,,,Elimination,2018-01-01
1057,10979,12036,Group,2019-01-01
446,8631,9077,Auto,2019-01-01
,,,Moto,2019-01-01
90,1985,2075,Finance,2019-01-01
,,,Other,2019-01-01
,,,Elimination,2019-01-01
1501,12036,13537,Group,2020-01-01
445,9077,9522,Auto,2020-01-01
,,,Moto,2020-01-01
788,2075,2863,Finance,2020-01-01
,,,Other,2020-01-01
,,,Elimination,2020-01-01
2472,13537,16009,Group,2021-01-01
2487,9522,12009,Auto,2021-01-01
,,,Moto,2021-01-01
608,2863,3471,Finance,2021-01-01
,,,Other,2021-01-01
,,,Elimination,2021-01-01
